tag,patterns
sedih,Saya tidak merasa dipermalukan
sedih,Saya bisa beralih dari perasaan begitu putus asa menjadi sangat penuh harapan hanya dari berada di sekitar seseorang yang peduli dan bangun
sedih,Saya merasa sedikit terbebani akhir -akhir ini tidak yakin mengapa itu terjadi
sedih,Saya merasa harus membuat penderitaan yang saya lihat
sedih,Saya merasa energi rendah saya hanya haus
sedih,Saya tidak benar -benar merasa itu malu
sedih,Saya merasa sangat menyedihkan sebagian besar waktu
sedih,Saya mulai merasa sentimental tentang boneka yang saya miliki sebagai seorang anak dan memulai koleksi boneka barbie vintage dari tahun enam puluhan
sedih,"Saya masih mencintai SO saya dan berharap yang terbaik untuknya, saya tidak bisa lagi mentolerir efek yang BM miliki terhadap kehidupan kita dan fakta yang telah mengubah SO saya menjadi orang yang marah yang tidak selalu baik kepada orang -orang di sekitarnya ketikaDia merasa stres"
sedih,Saya merasa sangat terhambat di dapur orang lain seperti saya melukis gambar orang lain
sedih,Saya menjadi kewalahan dan merasa dikalahkan
sedih,"Saya merasa sangat berkecil hati, kami sudah merampok Peter untuk membayar Paul untuk mendapatkan sapi kami tahun ini tetapi kami tidak mampu untuk tidak mendapatkan sapi seperti ini"
sedih,Saya merasa lesu dari kebutuhan hal -hal baru sesuatu yang berbeda
sedih,Saya mendapati diri saya merasa sedikit berkecil hati pagi itu
sedih,Saya merasa Anda tahu pada dasarnya seperti yang palsu di ranah fiksi ilmiah
sedih,"Aku benci hidup di bawah atap ayahku karena memberinya alasan untuk menjadi bajingan bagiku karena dia menyediakan bagiku untuk tinggal di sini, aku pikir dia merasa dia perlu membuatku merasa tidak disukai mungkin jadi aku akan pergi"
sedih,Saya telah berada di roller coaster emosi atas perasaan yang diduga bahwa sesuatu yang tidak menyenangkan akan datang
sedih,Saya merasa sengsara tetapi saya juga ibu yang paling membanggakan di bumi
sedih,"Saya pikir keluarga saya mencintai kami tidak peduli apa pun kecuali di sekitar orang lain, saya merasa malu ketika Michelle menjadi balistik"
sedih,Saya bisa merasakan ovarium saya sakit berbicara kepada saya karena saya suka meletakkannya
sedih,Saya tidak merasa ingin melakukan banyak Chris dan saya kebanyakan hanya mengambil terlalu banyak foto barang yang tidak penting
sedih,Saya bosan dengan buku itu dan siap untuk mengeluarkannya dari sini dan mengetahui bahwa saya diberi gambar yang tidak cocok dan kemudian merasa disalahkan atas hasilnya tidak ada yang duduk dengan baik
sedih,Saya merasa seperti sampah yang menyedihkan
sedih,Saya merasa sangat tidak berharga selama masa -masa itu saya sedang berjuang mencari pekerjaan
sedih,"Ketika saudara laki -laki ibuku meninggal setelah terlibat dalam kecelakaan mobil, dia membawakan saya hadiah karena saya telah lulus ujian lima tahun dengan warna terbang"
sedih,Saya merasa ingin membuang kertas kotoran yang menyebalkan
sedih,"Saya mendengar adalah pemilik yang merasa menjadi korban oleh asosiasi mereka, pengacara asosiasi atau manajer properti"
sedih,Maksud saya benar -benar bekerja sangat keras untuk mendapatkan keterampilan teknis yang tinggi di Wushu merasa agak malu tetapi entah bagaimana termotivasi ketika saya melihat anak -anak melakukan pertunjukan Wushu dengan sepenuh hati meskipun mereka kelelahan
sedih,Saya baik -baik saja di kelas tetapi kombinasi perasaan tidak berhasil menjadi pria yang menangani stres akhir -akhir ini dan minggu saya yang mengerikan mengakibatkan saya hampir menangis setelah saya selesai bergulat
sedih,Saya merasa jelek saya lebih cenderung mengenakan celana jins dan kaus dari gaun yang indah meskipun saya mungkin masih memakai sepasang tumit di sekitar rumah saya untuk meningkatkan harga diri saya sedikit tetapi saya pasti tidak mau repot -repot membeli pasangan baru
sedih,"Saya belum merasa rindu, jadi saya merasa baik -baik saja tentang ini"
sedih,"Saya merasakan semua ini hanya dari matanya bukan dari sentuhannya atau dari kata -katanya, tetapi dari matanya, saya tahu bahwa saya dapat dengan yakin mengembalikan cinta ini dan tahu bahwa itu tidak akan sia -sia"
sedih,Saya masuk ke dalam kelompok yang saya rasa sangat canggung dan terlalu banyak kompensasi dengan menjadi terlalu banyak bicara atau dengan menjadi sangat sunyi
sedih,Saya tidak merasa sengsara sama sekali karena keluarga saya bukan tipe yang merayakan Idul Fitri
sedih,"Saya masih merasa kurang tidur, dia hampir tidur sepanjang malam memberi kami"
sedih,Saya merasa perlu untuk melindungi orang tua saya dari perburuan penyihir bahwa terapi memori yang tertekan bisa
sedih,Saya tidak tahu apa yang dia rasakan kemudian saya pikir dia berharap dia bisa berada di sana bersama kami juga untuk kami masing -masing tahu bahwa betapapun kami membencinya pada awalnya itu adalah pengalaman yang akan kami ingat selamanya
sedih,Aku bisa merasakan rengekannya karena berpikir tidak dicintai dan tidak dicintai
sedih,Saya lebih gemuk karena satu -satunya hal dalam hidup saya yang dapat tetap berada di bawah kendali saya adalah apakah saya bisa makan selai kacang di atas roti ketika saya pulang dari hari yang mustahil hingga dunia pertama yang terlihat di dunia ketiga merasa sangat membutuhkan dan diabaikangadis kecil
sedih,Saya merasa sangat sedih dan putus asa
sedih,Saya masih merasa grogi tetapi saya harus bangun untuk melakukan rutinitas untuk anak saya
sedih,Saya hanya berharap baik -baik saja jadi saya memikirkannya sebelumnya hari ini dan inilah yang semuanya terkurung amp Restless telah membuat saya merasa sangat membutuhkan
sedih,Saya bukan penggemar presiden saat ini saya seorang konservatif dan itu membuat saya merasa tidak disukai
sedih,Saya merasa seperti saya selalu dihukum karena hal -hal bodoh dan saya merasa seperti saya dihukum karena berperilaku
